cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-fixed-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,posit-fixed-1995,precosat-2009,rsat-fixed-2007,satelite-gti-2005,sbva-cadical-2023,zchaff-2004
manthey_single-ordered-initialized-w32-b9,UNSATISFIABLE,10.94,12.24,FAILED,7.73,57.04,10.09,5.53,5.61,FAILED,7.07,9.38,9.41,99.71,12.69,20.01,10.91,17.08,15.03,15.23,16.97,7.52,2119.79,9.62,13.36,16.89,10.88,45.16
manthey_single-ordered-initialized-w40-b10,UNSATISFIABLE,87.37,207.22,FAILED,118.09,1869.74,164.63,63.23,80.68,FAILED,97.51,132.84,129.32,FAILED,155.70,198.39,85.96,130.06,103.96,108.32,250.18,83.38,FAILED,174.06,390.21,254.96,108.57,1729.09
manthey_single-ordered-initialized-w40-b8,UNSATISFIABLE,122.65,248.68,FAILED,144.24,2168.11,134.72,79.05,100.90,FAILED,105.58,164.28,163.23,FAILED,209.78,337.63,101.01,158.51,113.94,110.16,277.90,106.77,FAILED,229.65,609.04,346.42,151.43,2019.50
manthey_single-ordered-initialized-w42-b8,UNSATISFIABLE,247.37,563.41,FAILED,275.36,4429.02,258.63,151.26,201.10,FAILED,272.91,313.26,304.29,FAILED,380.15,632.84,163.63,255.23,218.10,200.62,643.84,209.24,FAILED,409.96,857.77,448.43,213.20,4147.90
manthey_single-ordered-initialized-w42-b9,UNSATISFIABLE,303.29,486.05,FAILED,301.26,4293.81,269.70,150.99,155.37,FAILED,248.09,313.74,303.91,FAILED,323.62,551.38,170.16,270.70,182.19,207.77,1018.30,217.18,FAILED,342.60,894.99,530.40,215.52,FAILED
manthey_single-ordered-initialized-w44-b6,UNSATISFIABLE,187.99,251.67,FAILED,184.60,1438.11,122.11,74.92,80.56,FAILED,131.82,161.36,156.27,2430.41,183.85,198.62,98.52,143.27,114.18,118.95,242.79,91.80,FAILED,150.98,382.06,266.23,156.40,1153.10
manthey_single-ordered-initialized-w44-b7,UNSATISFIABLE,270.87,600.62,FAILED,411.47,FAILED,280.96,186.67,281.86,FAILED,347.41,375.28,375.15,FAILED,400.58,589.84,182.91,337.20,204.56,232.40,527.72,262.83,FAILED,450.96,1748.72,1423.10,311.13,3229.38
manthey_single-ordered-initialized-w44-b8,UNSATISFIABLE,724.31,1133.22,FAILED,635.79,FAILED,521.63,324.02,330.47,FAILED,467.17,566.23,552.49,FAILED,633.46,989.15,321.11,455.71,397.62,323.87,1140.58,501.86,FAILED,775.51,1696.29,2021.60,517.36,FAILED
manthey_single-ordered-initialized-w44-b9,UNSATISFIABLE,644.30,1113.16,FAILED,587.51,FAILED,503.99,313.67,324.21,FAILED,496.28,592.38,528.36,FAILED,602.83,1027.87,280.28,426.20,298.57,346.04,1568.26,601.40,FAILED,810.70,2715.35,1415.45,455.01,FAILED
manthey_single-ordered-initialized-w46-b7,UNSATISFIABLE,494.43,1055.04,FAILED,701.88,FAILED,574.39,357.66,402.89,FAILED,505.12,644.74,648.39,FAILED,741.76,1009.72,303.29,492.60,327.80,363.25,2192.78,683.40,FAILED,747.31,2186.29,4045.21,745.88,FAILED
manthey_single-ordered-initialized-w46-b8,UNSATISFIABLE,1032.86,1764.83,FAILED,1084.87,FAILED,867.28,585.56,650.27,FAILED,834.56,940.18,970.06,FAILED,1434.46,1686.79,473.30,735.85,502.27,489.74,4751.78,921.44,FAILED,1362.29,FAILED,1603.17,815.47,FAILED
manthey_single-ordered-initialized-w46-b9,UNSATISFIABLE,1317.17,2503.75,FAILED,1182.30,FAILED,1047.05,735.47,791.07,FAILED,882.82,1120.19,1021.77,FAILED,1527.45,1880.77,510.84,708.22,667.90,545.52,2539.41,961.64,FAILED,1660.17,FAILED,3132.69,868.22,FAILED
manthey_single-ordered-initialized-w48-b6,UNSATISFIABLE,285.70,702.57,FAILED,449.97,FAILED,344.54,170.75,259.69,FAILED,386.32,402.33,396.90,FAILED,485.47,441.88,195.18,317.49,244.85,243.52,2361.89,309.59,FAILED,436.39,1270.63,993.35,385.62,3632.56
