cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,glucose-2016,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2010,lingeling-2011,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2005,minisat-2006,minisat-2008,picosat-2007,precosat-2009,rsat-2007,satelite-gti-2005,siege-2003,zchaff-2004,zchaff-2007
gus-md5-11,UNSATISFIABLE,FAILED,FAILED,FAILED,4410.86,FAILED,2818.97,FAILED,FAILED,FAILED,FAILED,4808.64,4656.57,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3650.88,2429.30,1538.51,FAILED,2399.88,3508.34,2091.53,FAILED,FAILED,FAILED
h31,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
h31_large,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
hantzsche_wendt_unit_147,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,703.02,FAILED,FAILED,FAILED,FAILED
hantzsche_wendt_unit_83,UNSATISFIABLE,1769.91,FAILED,FAILED,1434.48,FAILED,2997.97,1458.41,1666.82,1559.56,FAILED,1013.79,1333.72,1336.27,FAILED,1651.78,2278.35,2694.97,2340.00,923.02,1438.96,1086.96,1080.94,FAILED,FAILED,1915.66,FAILED,4377.83,FAILED,FAILED,FAILED,FAILED,FAILED
hantzsche_wendt_unit_92,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3709.65,4234.76,4527.12,FAILED,FAILED,FAILED,FAILED,FAILED,1830.58,2574.82,1565.79,1734.00,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
hantzsche_wendt_unit_93,SATISFIABLE,3117.31,FAILED,FAILED,1316.49,FAILED,1403.27,750.93,1348.22,2040.58,FAILED,637.05,28.05,29.57,FAILED,360.60,766.20,1091.83,FAILED,59.37,376.44,172.71,73.66,FAILED,FAILED,614.72,FAILED,FAILED,3027.58,FAILED,FAILED,FAILED,FAILED
hwmcc15deep-6s516r-k18-sc2017,UNSATISFIABLE,3702.13,FAILED,FAILED,2825.20,FAILED,FAILED,FAILED,FAILED,4590.64,FAILED,2721.14,3146.28,2974.40,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4986.81,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
hyp_cec_multi_1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
hyp_cec_multi_3,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
hyp_cec_multi_4,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
hyp_cec_multi_5,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
intel036_Iter109,SATISFIABLE,1801.41,FAILED,FAILED,56.89,FAILED,752.32,860.37,1204.92,1270.06,FAILED,66.87,58.81,56.50,FAILED,111.61,173.08,183.94,170.86,123.24,124.27,129.90,86.85,FAILED,FAILED,82.04,FAILED,32.78,3311.89,2518.14,FAILED,FAILED,FAILED
intel046_Iter124,SATISFIABLE,68.22,FAILED,FAILED,81.75,FAILED,182.07,105.54,106.44,63.07,FAILED,39.09,113.27,88.59,FAILED,56.09,74.50,120.72,119.95,31.92,92.49,178.62,85.03,FAILED,FAILED,578.03,FAILED,51.84,792.28,FAILED,3023.64,FAILED,FAILED
j3037_10_gmto_b,SATISFIABLE,148.13,573.89,FAILED,91.59,FAILED,48.40,235.27,134.01,433.93,FAILED,42.87,27.93,18.32,FAILED,671.64,1833.49,113.63,655.91,85.29,299.34,17.79,90.94,1138.60,453.45,1030.03,FAILED,458.66,1718.46,119.42,2189.00,FAILED,FAILED
j3037_10_gmto_bm1,UNSATISFIABLE,112.38,480.22,FAILED,96.51,FAILED,147.55,146.47,140.62,116.57,FAILED,97.96,130.90,122.24,FAILED,215.58,182.70,297.83,174.09,78.01,116.40,84.36,88.25,211.65,184.46,351.81,2300.76,184.70,1285.67,374.66,FAILED,FAILED,FAILED
j3037_1_rggt_b,SATISFIABLE,469.95,4634.02,FAILED,695.85,FAILED,1370.45,1270.77,1503.98,3762.43,FAILED,42.22,78.40,30.12,FAILED,3485.33,1661.87,2309.85,457.90,784.66,715.02,799.27,821.07,FAILED,1016.72,FAILED,1698.30,FAILED,2250.02,1938.09,FAILED,FAILED,FAILED
j3037_1_rggt_bm1,UNSATISFIABLE,1985.10,FAILED,FAILED,2267.87,FAILED,1603.64,1573.94,1645.23,1256.81,FAILED,1228.45,1813.79,2036.84,FAILED,FAILED,2553.86,4434.37,3703.08,709.79,981.53,853.97,734.53,FAILED,4604.80,3448.44,FAILED,FAILED,FAILED,3602.40,FAILED,FAILED,FAILED
j3037_9_gmto_b,SATISFIABLE,FAILED,FAILED,FAILED,536.56,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2305.78,87.28,87.28,FAILED,FAILED,FAILED,FAILED,2342.77,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4588.09,FAILED,FAILED,FAILED,FAILED
j3037_9_gmto_bm1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
j3037_9_mdd_b,SATISFIABLE,776.85,FAILED,FAILED,272.08,FAILED,FAILED,2404.10,3076.46,FAILED,FAILED,899.62,167.91,230.64,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4956.11,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
j3045_10_gmto_bm1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
j3045_10_mdd_bm1,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
j3045_4_gmto_bm1,UNSATISFIABLE,FAILED,FAILED,FAILED,2079.58,FAILED,3406.10,3180.96,FAILED,3537.85,FAILED,1459.30,1713.76,1746.40,FAILED,FAILED,FAILED,FAILED,FAILED,2163.77,1574.98,1413.22,4804.94,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
j3045_4_mdd_b,SATISFIABLE,1943.81,FAILED,FAILED,627.49,FAILED,2909.74,2400.28,2784.35,2650.04,FAILED,602.50,249.76,641.56,FAILED,FAILED,2401.98,FAILED,FAILED,825.49,2224.56,948.53,233.75,1168.20,291.24,FAILED,FAILED,3044.96,FAILED,721.43,FAILED,FAILED,FAILED
j3045_4_rggt_bm1,UNSATISFIABLE,1446.10,FAILED,FAILED,1201.35,FAILED,1568.09,1512.14,1434.17,902.63,FAILED,809.28,931.81,1024.54,FAILED,FAILED,2109.77,2940.85,1777.69,745.65,770.50,683.48,793.20,4552.02,2991.88,FAILED,FAILED,4225.15,FAILED,FAILED,FAILED,FAILED,FAILED
knight_18,SATISFIABLE,3138.55,FAILED,FAILED,FAILED,FAILED,2035.04,1473.20,808.98,1470.47,FAILED,2244.80,1965.02,1293.20,FAILED,FAILED,FAILED,3200.15,2883.80,1327.41,1066.30,1038.03,1986.89,FAILED,2998.99,1038.34,FAILED,FAILED,3956.42,3374.05,FAILED,FAILED,FAILED
ktf_TF-3.tf_3_0.02_24,UNSATISFIABLE,392.47,4021.87,FAILED,224.29,FAILED,380.11,693.44,650.16,229.69,FAILED,233.03,224.09,210.30,FAILED,1052.12,365.65,1251.86,549.04,184.71,215.84,137.74,182.43,3543.18,3410.76,643.70,3140.80,480.45,4276.75,FAILED,FAILED,FAILED,FAILED
